Column1;Column2;Column3;Column4
Kaliborite;KHMg2B12O16(OH)10·4H2O;K H Mg B O;monoclinic
Kalicinite;KH(CO3);K H C O;monoclinic
Kalifersite;K5Fe3+7Si20O50(OH)6·12H2O;K Fe Si O H;triclinic
Kalininite;Zn2+Cr3+2S2-4;Zn Cr S;cubic
Kalinite;KAl(S6+O4)2·11H2O;K Al S O H;
Kaliochalcite;KCu2+2(S6+O4)2[(OH)(H2O)];K Cu S O H;monoclinic
Kaliophilite;KAlSiO4;K Al Si O;hexagonal
Kalistrontite;K2Sr(S6+O4)2;K Sr S O;hexagonal
Kalithallite;K3Tl3+Cl6·2H2O;K Tl Cl H O;tetragonal
Kalsilite;KAlSiO4;K Al Si O;hexagonal
Kalungaite;Pd3+(AsSe)3-;Pd As Se;cubic
Kalyuzhnyite-(Ce);NaKCaSrCe3+Ti4+(Si8O21)OF(H2O)3;Na K Ca Sr Ce Ti Si O F H;monoclinic
Kamaishilite;Ca2(SiAl2)O6(OH)2;Ca Si Al O H;tetragonal
Kamarizaite;Fe3+3(As5+O4)2(OH)3·3H2O;Fe As O H;orthorhombic
Kambaldaite;NaNi2+4(CO3)3(OH)3·3H2O;Na Ni C O H;hexagonal
Kamchatkite;KCu2+3O(S6+O4)2Cl;K Cu O S Cl;orthorhombic
Kamenevite;K2Ti4+Si3O9·H2O;K Ti Si O H;orthorhombic
Kamiokite;Fe2+2Mo4+3O8;Fe Mo O;hexagonal
Kamitugaite;Pb2+Al(U6+O2)5(PO4)3O2(OH)2(H2O)11.5;Pb Al U O P H;triclinic
Kamotoite-(Y);Y2O4(U6+O2)4(CO3)3·14H2O;Y O U C H;monoclinic
Kampelite;Ba3Mg1.5Sc4(PO4)6(OH)3·4H2O;Ba Mg Sc P O H;orthorhombic
Kampfite;Ba12(Si11Al5)O31(CO3)8Cl5;Ba Si Al O C Cl;monoclinic
Kamphaugite-(Y);CaY(CO3)2(OH)·H2O;Ca Y C O H;tetragonal
Kanatzidisite;(Sb3+Bi3+S2-3)2Te2;Sb Bi S Te;monoclinic
Kanemite;NaSi2O4(OH)·3H2O;Na Si O H;orthorhombic
Kangite;(Sc,Ti4+,Al,Zr4+,Mg,Ca,[box])2O3;Sc Ti Al Zr Mg Ca O;cubic
Kangjinlaite;Ti11Si10;Ti Si;tetragonal
Ka?kite;Fe3+As5+O4·3.5H2O;Fe As O H;monoclinic
Kannanite;Ca4Al4(MgAl)(V5+O4)(SiO4)2(Si3O10)(OH)6;Ca Al Mg V O Si H;orthorhombic
Kanoite;Mn2+MgSi2O6;Mn Mg Si O;monoclinic
Kanonaite;Mn3+AlOSiO4;Mn Al O Si;orthorhombic
Kanonerovite;Na3Mn2+P3O10·12H2O;Na Mn P O H;monoclinic
Kantorite;K2NaMg(S6+O4)2F;K Na Mg S O F;orthorhombic
Kaolinite;Al2Si2O5(OH)4;Al Si O H;monoclinic|triclinic
Kapellasite;Cu2+3Zn2+(OH)6Cl2;Cu Zn O H Cl;hexagonal
Kapitsaite-(Y);Ba4Y2Si8B4O28F;Ba Y Si B O F;triclinic
Kapundaite;CaNaFe3+4(PO4)4(OH)3·5H2O;Ca Na Fe P O H;triclinic
Kapustinite;Na6Zr4+Si6O16(OH)2;Na Zr Si O H;monoclinic|hexagonal
Karasugite;SrCaAlF7;Sr Ca Al F;monoclinic
Karchevskyite;Mg18Al9(OH)54Sr2(CO3)9(H2O)6(H3O)5;Mg Al O H Sr C;hexagonal
Karelianite;V3+2O3;V O;hexagonal
Karenwebberite;NaFe2+(PO4);Na Fe P O;orthorhombic
Karibibite;Fe3+3(As3+O2)4(As3+2O5)(OH);Fe As O H;orthorhombic
Karlditmarite;Cu2+9O4(PO4)2(S6+O4)2;Cu O P S;triclinic
Karlite;(Mg,Al)6.5(BO3)3(OH)4([box],Cl)0.5;Mg Al B O H Cl;orthorhombic
Karlleuite;Ca2Mn4+O4;Ca Mn O;tetragonal
Karlseifertite;Pb2+(Ga2Ge)(As5+O4)2(OH)6;Pb Ga Ge As O H;hexagonal
Karnasurtite-(Ce);Ce3+Ti4+AlSi2O7(OH)4·3H2O;Ce Ti Al Si O H;
Karpenkoite;Co2+3(V5+2O7)(OH)2·2H2O;Co V O H;hexagonal
Karpinskite;(Mg,Ni2+)2Si2O5(OH)2;Mg Ni Si O H;
Karpovite;Tl1+2V4+O(S6+O4)2·H2O;Tl V O S H;monoclinic
Karupm?llerite-Ca;(Na,Ca,K)2Ca(Nb5+,Ti4+)4(Si4O12)2(O,OH)4·7H2O;Na Ca K Nb Ti Si O H;monoclinic
Karwowskiite;Ca9Mg(Fe2+0.5[box]0.5)(PO4)7;Ca Mg Fe P O;hexagonal
Kasatkinite;Ba2Ca8B5Si8O32(OH)3·6H2O;Ba Ca B Si O H;monoclinic
Kashinite;Ir3+2S2-3;Ir S;orthorhombic
Kaskasite;(Mo,Nb5+)S2·(Mg1-xAlx)(OH)2+x;Mo Nb S Mg Al O H;hexagonal
Kasolite;Pb2+(U6+O2)SiO4·H2O;Pb U O Si H;monoclinic
Kassite;CaTi4+2O4(OH)2;Ca Ti O H;monoclinic
Kastningite;Mn2+Al2(PO4)2(OH)2·8H2O;Mn Al P O H;triclinic
Katanite;Ba2+3Nb5+Fe3+3Si2O14;Ba Nb Fe Si O;hexagonal
Katayamalite;KLi3Ca7Ti4+2(SiO3)12(OH)2;K Li Ca Ti Si O H;triclinic|monoclinic
Katerinopoulosite;(N3-H4)2Zn2+(S6+O4)2·6H2O;N H Zn S O;monoclinic
Katiarsite;KTi4+O(As5+O4);K Ti O As;orthorhombic
Katoite;Ca3Al2(OH)12;Ca Al O H;cubic
Katophorite;NaNaCa(Mg4Al)(Si7Al)O22(OH)2;Na Ca Mg Al Si O H;monoclinic
Katoptrite;Mn2+13Al4Sb5+2O20(SiO4)2;Mn Al Sb O Si;monoclinic
Katsarosite;Zn2+(C2)6+O4·2H2O;Zn C O H;monoclinic
Kawazulite;Bi3+2Te2-2Se2-;Bi Te Se;hexagonal
Kayrobertsonite;Mn2+Al2(PO4)2(OH)2·6H2O;Mn Al P O H;triclinic
Kayupovaite;Na2Mn2+10[(Si14Al2)O38(OH)8]·7H2O;Na Mn Si Al O H;monoclinic
Kazakhstanite;Fe3+5V4+3V5+12O39(OH)9·9H2O;Fe V O H;monoclinic
Kazakovite;Na6Mn2+Ti4+Si6O18;Na Mn Ti Si O;hexagonal
Kazanskyite;Ba[box]Ti4+Nb5+Na3Ti4+(Si2O7)2O2(OH)2(H2O)2;Ba Ti Nb Na Si O H;triclinic
Kaznakhtite;Ni2+6Co3+2(OH)16(CO3)·4H2O;Ni Co O H C;hexagonal
Keckite;CaMn2+(Fe3+,Mn2+)2Fe3+2(PO4)4(OH)3·7H2O;Ca Mn Fe P O H;monoclinic
Kegelite;Pb2+4Al2Si4O10(S6+O4)(CO3)2(OH)4;Pb Al Si O S C H;monoclinic
Kegginite;Pb2+3Ca3[As5+V5+12O40(V5+O)]·20H2O;Pb Ca As V O H;hexagonal
Keilite;Fe2+S2-;Fe S;cubic
Keithconnite;Pd20Te7;Pd Te;hexagonal
Keiviite-(Y);Y2Si2O7;Y Si O;monoclinic
Keiviite-(Yb);Yb3+2Si2O7;Yb Si O;monoclinic
Keldyshite;Na2Zr4+Si2O7;Na Zr Si O;triclinic
Kellyite;(Mn2+,Mg,Al)3(Si,Al)2O5(OH)4;Mn Mg Al Si O H;hexagonal|monoclinic
Kelyanite;(Hg2)2+6Sb3+O6BrCl2;Hg Sb O Br Cl;hexagonal
Kemmlitzite;SrAl3(As5+O4)(S6+O4)(OH)6;Sr Al As O S H;hexagonal
Kempite;Mn2+2Cl(OH)3;Mn Cl O H;
Kenhsuite;Hg3S2Cl2;Hg S Cl;orthorhombic
Kenngottite;Mn2+3Fe3+4(PO4)4(OH)6(H2O)2;Mn Fe P O H;monoclinic
Kennygayite;[Pb2+4O2(OH)2](S6+O4);Pb O H S;triclinic
Kenoargentotennantite-(Fe);Ag1+6(Cu1+4Fe2+2)As4S2-12[box];Ag Cu Fe As S;cubic
Kenoargentotetrahedrite-(Fe);Ag1+6(Cu1+4Fe2+2)Sb4S2-12[box];Ag Cu Fe Sb S;cubic
Kenoargentotetrahedrite-(Zn);[Ag6]4+(Cu1+4Zn2+2)Sb3+4S2-12[box];Ag Cu Zn Sb S;cubic
Kenomicrolite;[box]2Ta5+2[O4(OH)2][box];Ta O H;cubic
Kenoplumbomicrolite;(Pb2+,[box])2Ta5+2O6[[box],(OH),O];Pb Ta O H;cubic
Kenorozhdestvenskayaite-(Fe);[Ag6]4+(Ag1+4Fe2+2)Sb3+4S2-12[box];Ag Fe Sb S;cubic
Kenotobermorite;Ca4Si6O15(OH)2·5H2O;Ca Si O H;monoclinic|orthorhombic
Kentbrooksite;(Na,REE)15(Ca,REE)6Mn2+3Zr4+3Nb5+(Si25O73)(O,OH,H2O)3(F,Cl)2;Na REE Ca Mn Zr Nb Si O H F Cl;hexagonal
Kentrolite;Pb2+2Mn3+2O2(Si2O7);Pb Mn O Si;orthorhombic
Kenyaite;Na2Si22O41(OH)8·6H2O;Na Si O H;tetragonal
Keplerite;Ca9(Ca0.5[box]0.5)Mg(PO4)7;Ca Mg P O;hexagonal
Kerimasite;Ca3Zr4+2(Fe3+2Si)O12;Ca Zr Si Fe O;cubic
Kermesite;Sb3+2OS2-2;Sb O S;triclinic
Kernite;Na2B4O6(OH)2·3H2O;Na B O H;monoclinic
Kernowite;Cu2+2Fe3+(As5+O4)(OH)4·4H2O;Cu Fe As O H;monoclinic
Kesebolite-(Ce);Ce3+Ca2Mn2+(As5+O4)(SiO3)3;Ce Ca Mn As O Si;monoclinic
K?sterite;Cu1+2Zn2+Sn4+S2-4;Cu Zn Sn S;tetragonal
Kettnerite;CaBi3+O(CO3)F;Ca Bi O C F;orthorhombic
Keutschite;Ag1+Cu2AsS2-4;Cu Ag As S;tetragonal
Keyite;([box]0.5Cu2+0.5)Cu2+Cd2+Zn2+2(As5+O4)3·H2O;Cu Cd Zn As O H;monoclinic
Keystoneite;Mg0.5Ni2+Fe3+(Te4+O3)3·4H2O;Mg Ni Fe Te O H;hexagonal
Khademite;Al(S6+O4)F·5H2O;Al S O F H;orthorhombic
Khaidarkanite;Cu2+4Al3(OH)14F3·2H2O;Cu Al O H F;monoclinic
Khamrabaevite;Ti4+C4-;Ti C;cubic
Khanneshite;(Na,Ca)3(Ba,Sr,Ce3+,Ca)3(CO3)5;Na Ca Ba Sr Ce C O;hexagonal
Kharaelakhite;(Cu,Pt,Pb,Fe,Ni)9S8;Cu Pt Pb Fe Ni S;orthorhombic
Khatyrkite;CuAl2;Cu Al;tetragonal
Khesinite;Ca4(Mg2Fe3+10)O4(Fe3+10Si2)O36;Ca Mg Fe O Si;triclinic
Khibinskite;K2Zr4+Si2O7;K Zr Si O;monoclinic
Khinite;Cu2+3Pb2+Te6+O6(OH)2;Cu Pb Te O H;orthorhombic|hexagonal
Khmaralite;Mg4(Mg3Al9)O4[Si5Be2Al5O36];Mg Al O Si Be;monoclinic
Khomyakovite;Na12Ca6Sr3Fe2+3W6+Zr4+3(Si25O73)(O,OH,H2O)3(Cl,OH)2;Na Sr Ca Fe Zr W Si O H Cl;hexagonal
Khorixasite;(Bi3+0.67[box]0.33)Cu2+(V5+O4)(OH);Bi Cu V O H;monoclinic
Khrenovite;Na3Fe3+2(As5+O4)3;Na Fe As O;monoclinic
Khristovite-(Ce);CaCe3+(MgAlMn2+)(Si2O7)(SiO4)F(OH);Ca Ce Mg Al Mn Si O F H;monoclinic
Khurayyimite;Ca7Zn2+4(Si2O7)2(OH)10·4H2O;Ca Zn Si O H;monoclinic
Khvorovite;Pb2+4Ca2[Si8B2(SiB)O28]F;Pb Ca Si B O F;triclinic
Kiddcreekite;Cu6WSnS8;Cu W Sn S;cubic
Kidwellite;NaFe3+9+x(PO4)6(OH)11·3H2O (x ? 1/3);Na Fe P O H;monoclinic
Kieftite;CoSb3;Co Sb;cubic
Kieserite;MgS6+O4·H2O;Mg S O H;monoclinic
Kihlmanite-(Ce);Ce3+2Ti4+O2(SiO4)(HCO3)2·H2O;Ce Ti O Si H C;triclinic
Kilchoanite;Ca6(SiO4)(Si3O10);Ca Si O;orthorhombic
Killalaite;Ca3.2[H0.6Si2O7](OH);Ca H Si O;monoclinic
Kimrobinsonite;Ta5+(OH)3(O,CO3);Ta O H C;cubic
Kimuraite-(Y);CaY2(CO3)4·6H2O;Ca Y C O H;orthorhombic
Kimzeyite;Ca3Zr4+2(Al2Si)O12;Ca Zr Si Al O;cubic
Kingite;Al3(PO4)2F2(OH)·7H2O;Al P O F H;triclinic
Kingsgateite;Zr4+Mo6+2O7(OH)2·2H2O;Zr Mo O H;tetragonal
Kingsmountite;Ca3Mn2+Fe2+Al4(PO4)6(OH)4·12H2O;Ca Mn Fe Al P O H;monoclinic
Kingstonite;Rh3S4;Rh S;monoclinic
Kinichilite;Mg0.5Mn2+Fe3+(Te4+O3)3·4.5H2O;Mg Mn Fe Te O H;hexagonal
Kinoite;Ca2Cu2+2Si3O10·2H2O;Ca Cu Si O H;monoclinic
Kinoshitalite;BaMg3(Si2Al2)O10(OH)2;Ba Mg Si Al O H;monoclinic
Kintoreite;Pb2+Fe3+3(PO4)(PO3OH)(OH)6;Pb Fe P O H;hexagonal
Kipushite;Cu2+6(PO4)2(OH)6·H2O;Cu P O H;monoclinic
Kircherite;(Na5Ca2K)(Si6Al6O24)(S6+O4)2·0.33H2O;Na Ca K Si Al O S H;hexagonal
Kirchhoffite;CsBSi2O6;Cs B Si O;tetragonal
Kirkiite;Pb2+10Bi3+3As3+3S2-19;Pb Bi As S;monoclinic
Kirschsteinite;CaFe2+SiO4;Ca Fe Si O;orthorhombic
Kiryuite;NaMn2+Al(PO4)F3;Na Mn Al P O F;monoclinic
Kishonite;VH2;V H;cubic
Kitagohaite;Pt7Cu;Pt Cu;cubic
Kitkaite;NiTeSe;Ni Te Se;hexagonal
Kittatinnyite;Ca2Mn2+Mn3+2(SiO4)2(OH)4·9H2O;Ca Mn Si O H;
Kladnoite;C6H4(CO)2NH;C H O N;monoclinic
Klajite;Mn2+Cu2+4(As5+O4)2(As5+O3OH)2·9H2O;Mn Cu As O H;triclinic
Klaprothite;Na6(U6+O2)(S6+O4)4·4H2O;Na U O S H;monoclinic
Klebelsbergite;Sb3+4O4(S6+O4)(OH)2;Sb O S H;orthorhombic
Kleberite;Fe3+Ti4+6O11(OH)5;Fe Ti O H;monoclinic
Kleemanite;Zn2+Al2(PO4)2(OH)2·3H2O;Zn Al P O H;monoclinic
Kleinite;(Hg2N)1+(Cl,S6+O4)·nH2O;Hg N Cl S O H;hexagonal
Kl?chite;(Fe2+Fe3+)[box]2KZn2+3(Si12O30);Fe K Zn Si O;hexagonal
Klockmannite;Cu5.2Se6;Cu Se;hexagonal
Klyuchevskite;K3Cu2+3Fe3+O2(S6+O4)4;K Cu Fe O S;monoclinic
Knasibfite;K3Na4(SiF6)3(BF4);K Na Si F B;orthorhombic
Knorringite;Mg3Cr3+2(SiO4)3;Mg Cr Si O;cubic
Koashvite;Na6CaTi4+Si6O18;Na Ca Ti Si O;orthorhombic
Kobeite-(Y);(Y,U6+,U4+)(Ti4+,Nb5+)2(O,OH)6;Y U Ti Nb O H;
Kobellite;Pb2+11(Cu1+,Fe2+)2(Bi3+,Sb3+)15S2-35;Pb Cu Fe Bi Sb S;orthorhombic
Kobokoboite;Al6(PO4)4(OH)6·11H2O;Al P O H;triclinic
Kobyashevite;Cu2+5(S6+O4)2(OH)6·4H2O;Cu S O H;triclinic
Kochite;Ca2(Mn2+Zr4+)Na3Ti4+(Si2O7)2(OF)F2;Ca Mn Zr Na Ti Si O F;triclinic
Kochkarite;Pb2+Bi3+4Te2-7;Pb Bi Te;hexagonal
Kochs?ndorite;CaAl2(CO3)2(OH)4·H2O;Ca Al C O H;orthorhombic
Kodamaite;"Na3(Ca5Na)Si16O36(OH)4F2·(14-&lt;i&gt;x&lt;/i&gt;)H2O (x ~ 5)";Na Ca Si O H F;triclinic
Koechlinite;Bi3+2Mo6+O6;Bi Mo O;orthorhombic
Koenenite;Na4Mg9Al4Cl12(OH)22;Na Mg Al Cl O H;hexagonal
Kogarkoite;Na3S6+O4F;Na S O F;monoclinic|hexagonal
Kojonenite;Pd7-xSnTe2 (0.3 ? x ? 0.8);Pd Sn Te;tetragonal
Kokchetavite;KAlSi3O8;K Al Si O;hexagonal
Kokinosite;Na2Ca2[V5+10O28]·24H2O;Na Ca V O H;triclinic
Koksharovite;CaMg2Fe3+4(V5+O4)6;Ca Mg Fe V O;triclinic
Koktaite;(N3-H4)2Ca(S6+O4)2·H2O;N H Ca S O;
Kolarite;PbTeCl2;Pb Te Cl;orthorhombic
Kolbeckite;ScPO4·2H2O;Sc P O H;monoclinic
Kolfanite;Ca2Fe3+3O2(As5+O4)3·2H2O;Ca Fe O As H;monoclinic
Kolicite;Zn2+4Mn2+7(As5+O4)2(SiO4)2(OH)8;Zn Mn As O Si H;orthorhombic
Kolitschite;Pb2+[Zn2+0.5[box]0.5]Fe3+3(As5+O4)2(OH)6;Pb Zn Fe As O H;monoclinic
Kollerite;(N3-H4)2Fe3+(S4+O3)2(OH)·H2O;N H Fe S O;orthorhombic
Kolovratite;(Ni2+,Zn2+)xV5+O4·nH2O;Ni Zn V O H;
Kolskyite;(Ca[box])Ti4+2Na2Ti2(Si2O7)2O4(H2O)2(H2O)5;Ca Ti Na Si O H;triclinic
Kolwezite;Cu2+Co2+CO3(OH)2;Cu Co C O H;triclinic
Kolymite;Cu7Hg6;Cu Hg;cubic
Komarovite;(Ca,Sr,Na)6-x(Nb5+,Ti4+)6(Si4O12)(O,OH,F)16·nH2O;Ca Sr Na Nb Ti Si O H F;orthorhombic
Kombatite;Pb2+14O9(V5+O4)2Cl4;Pb O V Cl;monoclinic
Komkovite;BaZr4+Si3O9·3H2O;Ba Zr Si O H;hexagonal
Konderite;Pb2+Cu2+3Rh3+8S2-16;Pb Cu Rh S;hexagonal
Koninckite;Fe3+PO4·3H2O;Fe P O H;tetragonal
Kononovite;NaMg(S6+O4)F;Na Mg S O F;monoclinic
Konyaite;Na2Mg(S6+O4)2·5H2O;Na Mg S O H;monoclinic
Konzettite;CaMn4+Te6+O6;Ca Mn Te O;hexagonal
Koragoite;Mn2+2Mn3+Nb5+2(Nb5+,Ta5+)3W6+2O20;Mn Nb Ta W O;monoclinic
Koritnigite;Zn2+(As5+O3OH)·H2O;Zn As O H;triclinic
Kornelite;Fe3+2(S6+O4)3·7H2O;Fe S O H;monoclinic
Kornerupine;(Mg,Fe2+,Al,[box])10(Si,Al,B)5O21(OH,F)2;Mg Fe Al Si B O H F;orthorhombic
Korobitsynite;(Na,[box])4Ti4+2(Si4O12)(O,OH)2·4H2O;Na Ti Si O H;orthorhombic
Korshunovskite;Mg2Cl(OH)3(H2O)3·H2O;Mg Cl O H;triclinic
Koryakite;NaKMg2Al2(S6+O4)6;Na K Mg Al S O;hexagonal
Korzhinskite;CaB2O4·0.5H2O;Ca B O H;
Kosmochlor;NaCr3+Si2O6;Na Cr Si O;monoclinic
Kosnarite;KZr4+2(PO4)3;K Zr P O;hexagonal
Kostovite;AuCuTe4;Au Cu Te;
Kostylevite;K2Zr4+Si3O9·H2O;K Zr Si O H;monoclinic
Kotoite;Mg3(BO3)2;Mg B O;orthorhombic
Kottenheimite;Ca3Si(S6+O4)2(OH)6·12H2O;Ca Si S O H;hexagonal
K?ttigite;Zn2+3(As5+O4)2·8H2O;Zn As O H;monoclinic
Kotulskite;Pd(Te,Bi)2-x (x ? 0.4);Pd Te Bi;hexagonal
Koutekite;Cu5As2;Cu As;orthorhombic
Kovdorskite;Mg2PO4(OH)·3H2O;Mg P O H;monoclinic
Koz?owskiite;Ca4Fe2+Sn4+3(Si2O7)2(Si2O6OH)2;Ca Fe Sn Si O H;triclinic
Kozoite-(La);LaCO3(OH);La C O H;orthorhombic
Kozoite-(Nd);NdCO3(OH);Nd C O H;orthorhombic
Kozyrevskite;Cu2+4O(As5+O4)2;Cu O As;orthorhombic
Kraisslite;Zn2+3(Mn2+,Mg)25(Fe3+,Al)(As3+O3)2[(Si,As5+)O4]10(OH)16;Zn Mn Mg Fe Al As O Si H;orthorhombic|hexagonal
Kr?l?kite;BaCl2·2H2O;Ba Cl H O;monoclinic
Krasheninnikovite;KNa2CaMg(S6+O4)3F;K Na Ca Mg S O F;hexagonal
Kr?snoite;Ca3Al7.7Si3P4O23.5(OH)12.1F2·8H2O;Ca Al Si P O H F;hexagonal
Krasnoshteinite;Al8[B2O4(OH)2](OH)16Cl4·7H2O;Al B O H Cl;monoclinic
Krasnovite;Ba(Al,Mg)(PO4,CO3)(OH)2·H2O;Ba Al Mg P O C H;orthorhombic
Kratochv?lite;C13H10;C H;orthorhombic
Krausite;KFe3+(S6+O4)2·H2O;K Fe S O H;monoclinic
Krauskopfite;BaSi2O5·3H2O;Ba Si O H;monoclinic
Krautite;Mn2+(As5+O3OH)·H2O;Mn As O H;monoclinic
Kravtsovite;PdAg2S;Pd Ag S;orthorhombic
Kreiterite;CsLi2Fe3+Si4O10F2;Cs Li Fe Si O F;monoclinic
Kremersite;(N3-H4)2Fe3+Cl5·H2O;N H Fe Cl O;orthorhombic
Krennerite;Au3AgTe8;Au Ag Te;orthorhombic
Krettnichite;Pb2+Mn3+2(V5+O4)2(OH)2;Pb Mn V O H;monoclinic
Kribergite;Al5(PO4)3(S6+O4)(OH)4·4H2O;Al P O S H;
Krieselite;Al2GeO4F2;Al Ge O F;orthorhombic
Krinovite;Na4(Mg8Cr3+4)O4[Si12O36];Na Mg Cr O Si;triclinic
Kristiansenite;Ca4Sc2Sn4+2(Si2O7)2(Si2O6OH)2;Ca Sc Sn Si O H;triclinic
Kristj?nite;KNa2H(S6+O4)2;K Na H S O;monoclinic
Krivovichevite;Pb2+3Al(OH)6S6+O4(OH);Pb Al O H S;hexagonal
Kr?hnkite;Na2Cu2+(S6+O4)2·2H2O;Na Cu S O H;monoclinic
Krotite;CaAl2O4;Ca Al O;monoclinic
Kroupaite;KPb2+0.5[(U6+O2)8O4(OH)10]·10H2O;K Pb U O H;orthorhombic
Kr?gerite;BaCa6(SiO4)2[(P0.5S6+0.5)O4]2F;Ba Ca Si O P S F;hexagonal
Kruijenite;Ca4Al4(S6+O4)F2(OH)16·2H2O;Ca Al S O F H;tetragonal
Krupi?kaite;Cu2+6[As5+O3(OH)]6·8H2O;Cu As O H;monoclinic
Krupkaite;Cu1+Pb2+Bi3+3S2-6;Pb Cu Bi S;orthorhombic
Krut'aite;Cu2+(Se2)2-;Cu Se;cubic
Krutovite;NiAs2;Ni As;cubic
Kryachkoite;(Al,Cu)6(Fe,Cu);Al Cu Fe;orthorhombic
Kryzhanovskite;(Fe3+,Mn2+)3(PO4)2(OH,H2O)3;Fe Mn P O H;orthorhombic
Ktenasite;Zn2+Cu2+4(S6+O4)2(OH)6·6H2O;Zn Cu S O H;monoclinic
Kuannersuite-(Ce);NaCe3+Ba3(PO4)3F0.5Cl0.5;Na Ce Ba P O F Cl;hexagonal
Kudriavite;(Cd2+,Pb2+)Bi3+2S2-4;Cd Pb Bi S;monoclinic
Kudryavtsevaite;Na3MgFe3+Ti4+4O12;Na Mg Fe Ti O;orthorhombic
Kufahrite;PtPb;Pt Pb;hexagonal
Kukharenkoite-(Ce);Ba2Ce3+(CO3)3F;Ba Ce C O F;monoclinic
Kukharenkoite-(La);Ba2La(CO3)3F;Ba La C O F;monoclinic
Kukisvumite;Na6Zn2+Ti4+4O4(SiO3)8·4H2O;Na Zn Ti O Si H;orthorhombic
Kuksite;Pb2+3Zn2+3Te6+O6(PO4)2;Pb Zn Te O P;hexagonal
Kulanite;BaFe2+2Al2(PO4)3(OH)3;Ba Fe Al P O H;monoclinic
Kuliginite;Fe2+3Mg(OH)6Cl2;Fe Mg O H Cl;hexagonal
Kuliokite-(Y);Y4Al(SiO4)2(OH)2F5;Y Al Si O H F;triclinic
Kulkeite;Na0.3Mg8Al(Si,Al)8O20(OH)10;Na Mg Al Si O H;monoclinic
Kullerudite;NiSe2;Ni Se;orthorhombic
Kumdykolite;NaAlSi3O8;Na Al Si O;orthorhombic
Kummerite;Mn2+Fe3+Al(PO4)2(OH)2·8H2O;Mn Fe Al P O H;triclinic
Kumtyubeite;Ca5(SiO4)2F2;Ca Si O F;monoclinic
Kunatite;Cu2+Fe3+2(PO4)2(OH)2·4H2O;Cu Fe P O H;monoclinic
Kup??kite;Cu3.4Fe0.6Bi5S10;Cu Fe Bi S;monoclinic
Kupletskite;K2NaMn2+7Ti4+2(Si4O12)2O2(OH)4F;K Na Mn Ti Si O H F;monoclinic|triclinic
Kupletskite-(Cs);Cs2NaMn2+7Ti4+2(Si4O12)2O2(OH)4F;Cs Na Mn Ti Si O H F;triclinic
Kuramite;Cu1+2Cu2+Sn4+S2-4;Cu Sn S;tetragonal
Kuranakhite;Pb2+Mn4+Te6+O6;Pb Mn Te O;orthorhombic
Kuratite;Ca2(Fe2+5Ti4+)O2[Si4Al2O18];Ca Fe Ti O Si Al;triclinic
Kurchatovite;CaMgB2O5;Ca Mg B O;orthorhombic
Kurgantaite;CaSrB5O9Cl·H2O;Ca Sr B O Cl H;triclinic
Kurilite;Ag8Te3Se;Ag Te Se;hexagonal
Kurnakovite;MgB3O3(OH)5·5H2O;Mg B O H;triclinic
Kurumsakite;Zn2+8Al8V5+2Si5O35·27H2O;Zn Al V Si O H;
Kusachiite;Cu2+Bi3+2O4;Cu Bi O;tetragonal
Kushiroite;CaAl(AlSi)O6;Ca Al Si O;monoclinic
Kutinaite;Ag6Cu14As7;Ag Cu As;cubic
Kutnohorite;CaMn2+(CO3)2;Ca Mn C O;hexagonal
Kuvaevite;Ir5Ni10S16;Ir Ni S;hexagonal
Kuzelite;Ca4Al2(OH)12(S6+O4)·6H2O;Ca Al O H S;hexagonal
Kuzmenkoite-Mn;K4Mn2+2Ti4+8(Si4O12)4(OH,O)8·10-12H2O;K Mn Ti Si O H;monoclinic
Kuzmenkoite-Zn;K2Zn2+Ti4+4(Si4O12)2(OH)4·6-8H2O;K Zn Ti Si O H;monoclinic
Kuzminite;Hg1+Br;Hg Br;tetragonal
Kuznetsovite;Hg1+2Hg2+(As5+O4)Cl;Hg As O Cl;cubic
Kva?ekite;Ni3+(SbSe)3-;Ni Sb Se;cubic
Kvanefjeldite;Na4CaSi6O14(OH)2;Na Ca Si O H;orthorhombic
Kyanite;Al2OSiO4;Al O Si;triclinic
Kyanoxalite;Na7(Al5-6Si6-7O24)((C2)6+O4)0.5-1.0·5H2O;Na Al Si O C H;hexagonal
Kyawthuite;Bi3+Sb5+O4;Bi Sb O;monoclinic
Kyrgyzstanite;Zn2+Al4S6+O4(OH)12·3H2O;Zn Al S O H;monoclinic
Kyzylkumite;Ti4+2V3+O5(OH);Ti V O H;monoclinic
Laachite;(Ca,Mn2+)2Zr4+2Nb5+2Ti4+Fe2+O14;Ca Mn Zr Nb Ti Fe O;monoclinic
Labuntsovite-Fe;Na4K4Fe2+2Ti4+8(Si4O12)4(O,OH)8·10-12H2O;Na K Fe Ti O Si H;monoclinic
Labuntsovite-Mg;Na4K4Mg2Ti4+8O4(Si4O12)4(OH)4·10-12H2O;Na K Mg Ti O Si H;monoclinic
Labuntsovite-Mn;Na4K4Mn2+2Ti4+8O4(Si4O12)4(OH)4·10-12H2O;Na K Mn Ti O Si H;monoclinic
Labyrinthite;(Na,K,Sr)35Ca12Fe2+3Zr4+6Ti4+Si51O144(O,OH,H2O)9Cl3;Na K Sr Ca Fe Zr Ti Si O H Cl;hexagonal
Lacroixite;NaAl(PO4)F;Na Al P O F;monoclinic
