Column1;Column2;Column3;Column4
Aluminium;Al;Al;cubic
Aluminoceladonite;K(Mg,Fe2+)AlSi4O10(OH)2;K Mg Fe Al Si O H;hexagonal|monoclinic
Aluminocerite-(CeCa);(Ce3+6Ca3)[box]Al(SiO4)3(SiO3OH)4(OH)3;Ce Ca Al Si O H;hexagonal
Aluminocopiapite;(Al,Mg)Fe3+4(S6+O4)6(OH,O)2·20H2O;Al Mg Fe S O H;triclinic
Aluminocoquimbite;Al2Fe3+2(S6+O4)6(H2O)12·9H2O;Al Fe S O H;hexagonal
Aluminomagnesiohulsite;Mg2AlO2(BO3);Mg Al O B;monoclinic
Alumino-oxy-rossmanite;Al3Al6(Si5AlO18)(BO3)3(OH)3O;Al Si O B H;hexagonal
Aluminopyracmonite;(N3-H4)3Al(S6+O4)3;N H Al S O;hexagonal
Aluminosugilite;KNa2Al2Li3Si12O30;K Na Al Li Si O;hexagonal
Aluminotaipingite-(CeCa);(Ce3+6Ca3)Al(SiO4)3[SiO3(OH)]4F3;Ce Ca Al Si O H F;hexagonal
Alum-(K);KAl(S6+O4)2·12H2O;K Al S O H;cubic
Alum-(Na);NaAl(S6+O4)2·12H2O;Na Al S O H;cubic
Alumo?kermanite;(Ca,Na)2(Al,Mg,Fe2+)(Si2O7);Ca Na Al Mg Fe Si O;tetragonal
Alumoedtollite;K2NaCu2+5AlO2(As5+O4)4;K Na Cu Al O As;triclinic
Alumohydrocalcite;CaAl2(CO3)2(OH)4·3H2O;Ca Al C O H;triclinic
Alumoklyuchevskite;K3Cu2+3AlO2(S6+O4)4;K Cu Al O S;monoclinic
Alumolukrahnite;CaCu2+Al(As5+O4)2(OH)(H2O);Ca Cu Al As O H;triclinic
Alumotantite;AlTa5+O4;Al Ta O;orthorhombic
Alumovesuvianite;Ca19Al(Al10Mg2)Si18O69(OH)9;Ca Al Mg Si O H;tetragonal
Alunite;KAl3(S6+O4)2(OH)6;K Al S O H;hexagonal
Alunogen;Al2(S6+O4)3(H2O)12·5H2O;Al S O H;triclinic
Alvanite;Zn2+Al4(V5+O3)2(OH)12·2H2O;Zn Al V O H;monoclinic
Alvesite;NaKZr4+Si6O15·2H2O;Na K Zr Si O H;orthorhombic
Alwilkinsite-(Y);Y(U6+O2)3(S6+O4)2O(OH)3(H2O)7·7H2O;Y U O S H;orthorhombic
Amableite-(Ce);Na15[(Ce3+1.5Na1.5)Mn2+3]Mn2+2Zr4+3[box]Si[Si24O69(OH)3](OH)2·H2O;Na Ce Mn Zr Si O H;hexagonal
Amakinite;Fe2+(OH)2;Fe O H;hexagonal
Amamoorite;CaMn2+2Mn3+(Si2O7)O(OH);Ca Mn Si O H;monoclinic
Amarantite;Fe3+2O(S6+O4)2·7H2O;Fe O S H;triclinic
Amarillite;NaFe3+(S6+O4)2·6H2O;Na Fe S O H;monoclinic
Amaterasuite;Sr4Ti4+6Si4O23(OH)Cl;Sr Ti Si O H Cl;orthorhombic
Amblygonite;LiAlPO4F;Li Al P O F;triclinic
Ambrinoite;[K,(N3-H4)]2(As3+,Sb3+)6(Sb3+,As3+)2S2-13·H2O;K N H As Sb S O;triclinic
Ameghinite;NaB3O3(OH)4;Na B O H;monoclinic
Amesite;Mg2Al(AlSiO5)(OH)4;Mg Al Si O H;hexagonal|triclinic
Amgaite;Tl3+2Te6+O6;Tl Te O;hexagonal
Amicite;K2Na2(Si4Al4O16)·5H2O;K Na Al Si O H;monoclinic
Aminoffite;Ca3(BeOH)2Si3O10;Ca Be O H Si;tetragonal
Ammineite;Cu2+Cl2(N3-H3)2;Cu Cl N H;orthorhombic
Ammonioalunite;N3-H4Al3(S6+O4)2(OH)6;N H Al S O;hexagonal
Ammonioborite;(N3-H4)3B15O20(OH)8·4H2O;N H B O;monoclinic
Ammoniojarosite;N3-H4Fe3+3(S6+O4)2(OH)6;N H Fe S O;hexagonal
Ammoniolasalite;(N3-H4)2Mg2[V5+10O28]·20H2O;N H Mg O V;monoclinic
Ammonioleucite;(N3-H4)AlSi2O6;N H Al Si O;tetragonal
Ammoniomagnesiovoltaite;(N3-H4)2Mg5Fe3+3Al(S6+O4)12·18H2O;N H Mg Fe Al S O;cubic
Ammoniomathesiusite;(N3-H4)5(U6+O2)4(S6+O4)4(V5+O5)·4H2O;N H U O S V;tetragonal
Ammoniotinsleyite;(N3-H4)Al2(PO4)2(OH)·2H2O;N H Al P O;monoclinic
Ammoniovoltaite;(N3-H4)2Fe2+5Fe3+3Al(S6+O4)12(H2O)18;N H Fe Al S O;cubic
Ammoniozippeite;(N3-H4)2[(U6+O2)2(S6+O4)O2]·H2O;N H U O S;orthorhombic
Amoraite;Ca12Al6(OH)36(CO3)2(S4+O3)·15H2O;Ca Al O H C S;triclinic
Amstallite;CaAl(Si,Al)4O8(OH)4·(H2O,Cl);Ca Al Si O H Cl;monoclinic
Amurselite;(N3-H4)2(U6+O2)5(Se4+O3)3O2(OH)2(H2O)·8H2O;N H U O Se;triclinic
Analcime;NaAlSi2O6·H2O;Na Al Si O H;hexagonal|monoclinic, orthorhombic, cubic, tetragonal
Anandite;BaFe2+3(Si3Fe3+)O10S2-(OH);Ba Fe Si O S H;orthorhombic|monoclinic
Anapaite;Ca2Fe2+(PO4)2·4H2O;Ca Fe P O H;triclinic
Anastasenkoite;CaFe2+P2O7;Ca Fe P O;triclinic
Anatase;Ti4+O2;Ti O;tetragonal
Anatolygurbanovite;SrCa2Si3O9;Sr Ca Si O;triclinic
Anatolyite;Na6(Ca,Na)(Mg,Fe3+)3Al(As5+O4)6;Na Ca Mg Fe Al As O;hexagonal
Ancylite-(Ce);Ce3+Sr(CO3)2(OH)·H2O;Ce Sr C O H;orthorhombic
Ancylite-(La);LaSr(CO3)2(OH)·H2O;La Sr C O H;orthorhombic
Andalusite;Al2SiO5;Al Si O;orthorhombic
Andersonite;Na2Ca(U6+O2)(CO3)3·5-6H2O;Na Ca U O C H;hexagonal
Andradite;Ca3Fe3+2(SiO4)3;Ca Fe Si O;triclinic|cubic
Andreadiniite;Cu1+Hg2+Ag1+7Pb2+7Sb3+24S2-48;Cu Hg Ag Pb Sb S;monoclinic
Andr?meyerite;BaFe2+2Si2O7;Ba Fe Si O;orthorhombic|monoclinic
Andreybulakhite;Ni2+((C2)6+O4)·2H2O;Ni C O H;monoclinic
Andreyivanovite;FeCrP;Fe Cr P;orthorhombic
Andrianovite;Na12(K,Sr,Ce3+)3Ca6Mn2+3Zr4+3Nb5+Si25O73(O,H2O,OH)5;Na K Sr Ce Ca Mn Zr Nb Si O H;hexagonal
Andrieslombaardite;Rh3+(SbS)3-;Rh Sb S;cubic
Anduoite;RuAs2;Ru As;orthorhombic
Andychristyite;Pb2+Cu2+Te6+O5(H2O);Pb Cu Te O H;triclinic
Andymcdonaldite;Fe3+2Te6+O6;Fe Te O;tetragonal
Andyrobertsite;KCd2+Cu2+5(As5+O4)4[As5+(OH)2O2]·2H2O;K Cd Cu As O H;monoclinic
Angarfite;NaFe3+5(PO4)4(OH)4·4H2O;Na Fe P O H;orthorhombic
Angastonite;CaMgAl2(PO4)2(OH)4·7H2O;Ca Mg Al P O H;triclinic
?ngelaite;Cu1+2Ag1+Pb2+Bi3+S2-4;Cu Ag Pb Bi S;orthorhombic
Angelellite;Fe3+4O3(As5+O4)2;Fe O As;triclinic
Anglesite;Pb2+S6+O4;Pb S O;orthorhombic
Anhydrite;CaS6+O4;Ca S O;orthorhombic
Anhydrokainite;KMgS6+O4Cl;K Mg S O Cl;hexagonal
Anilite;Cu7S4;Cu S;orthorhombic
Ankerite;Ca(Fe2+,Mg)(CO3)2;Ca Fe Mg C O;hexagonal
